,Brand,Name,Img_Url,Price
53,La Grande Classique De Longines,LonginesLa Grande Classique De Longines,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/l/o/longines-la-grande-classique-de-longines-l4-709-1-57-7.jpg,"1,04,400"
54,Endeavour,H. Moser & Cie.Endeavour,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/h/-/h-moser-cie-endeavour-1801-0402.jpg,"33,60,000"
55,Freelancer,Raymond WeilFreelancer,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/raymond-weil-freelancer-7730-stc-jhdx1.jpg,"2,35,000"
56,Heritage,H. Moser & Cie.Heritage,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/h/-/h-moser-cie-pioneer-8200-1201_3.jpg,"11,70,000"
57,Tonda,ParmigianiTonda,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/p/a/parmigiani-tonda-pfc272-1002400-ha1241_1.jpg,"28,70,000"
58,Streamliner,H. Moser & Cie.Streamliner,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/m/o/moser-cie-streamliner-6902-1200.jpg,"33,60,000"
59,Ur-Satellite,UrwerkUr-Satellite,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/u/r/urwerk-ur-satellite-ur-210-rg.jpg,"1,25,20,000"
60,Elegance,Grand SeikoElegance,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/g/r/grand-seiko-elegance-sbgk007g.jpg,"24,50,000"
61,Bridges,Girard-PerregauxBridges,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/g/i/girard-perregaus-bridges-99275-52-000-ba6e.jpg,"1,59,40,000"
62,Diving,OrisDiving,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/o/r/oris-diving-01-733-7707-4337-set-large.jpg,"1,70,000"
63,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-original-r12391153.jpg,"28,600"
64,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-diastar-r12393633-114-0393-3-063.jpg,"43,800"
65,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-diastar-r12413313-648-0413-3-031.jpg,"64,400"
66,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-original-r12413323-648-0413-3-032.jpg,"64,400"
67,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/1/r12413493-648.0413.3.049-straight.jpg,"55,400"
68,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-original-r12413583-648-0413-3-058.jpg,"60,800"
69,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-original-r12413033-648-0413-3-003.jpg,"64,400"
70,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-original-r12413243-648-0413-3-024.jpg,"61,700"
71,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-original-r12413584-648-0413-3-158.jpg,"64,400"
72,Tango,Raymond WeilTango,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/raymond-weil-tango-5599-st-00308_2.jpg,"92,100"
